Timestep,formula,C_cout,H_count,C/H,H/C
167.6094, 'C57H29', 57, 29, 1.9655172413793103, 0.5087719298245614
167.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
168.0094, 'C38H21', 38, 21, 1.8095238095238095, 0.5526315789473685
168.2094, 'C41H22', 41, 22, 1.8636363636363635, 0.5365853658536586
168.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
168.6094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
168.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
169.0094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
169.2094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
169.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
169.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
169.8094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
170.0094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
170.2094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
170.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
170.6094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
170.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
171.0094, 'C41H21', 41, 21, 1.9523809523809523, 0.5121951219512195
171.2094, 'C42H21', 42, 21, 2.0, 0.5
171.4094, 'C42H21', 42, 21, 2.0, 0.5
171.6094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
171.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
172.0094, 'C42H21', 42, 21, 2.0, 0.5
172.2094, 'C41H22', 41, 22, 1.8636363636363635, 0.5365853658536586
172.4094, 'C41H21', 41, 21, 1.9523809523809523, 0.5121951219512195
172.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
172.8094, 'C41H21', 41, 21, 1.9523809523809523, 0.5121951219512195
173.0094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
173.2094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
173.4094, 'C41H22', 41, 22, 1.8636363636363635, 0.5365853658536586
173.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
173.8094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
174.0094, 'C39H21', 39, 21, 1.8571428571428572, 0.5384615384615384
174.2094, 'C42H21', 42, 21, 2.0, 0.5
174.4094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
174.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
174.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
175.0094, 'C41H21', 41, 21, 1.9523809523809523, 0.5121951219512195
175.2094, 'C42H21', 42, 21, 2.0, 0.5
175.4094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
175.6094, 'C42H20', 42, 20, 2.1, 0.47619047619047616
175.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
176.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
176.2094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
176.4094, 'C39H21', 39, 21, 1.8571428571428572, 0.5384615384615384
176.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
176.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
177.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
177.2094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
177.4094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
177.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
177.8094, 'C42H21', 42, 21, 2.0, 0.5
178.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
178.2094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
178.4094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
178.6094, 'C42H21', 42, 21, 2.0, 0.5
178.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
179.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
179.2094, 'C41H20', 41, 20, 2.05, 0.4878048780487805
179.4094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
179.6094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
179.8094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
180.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
180.2094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
180.4094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
180.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
180.8094, 'C40H23', 40, 23, 1.7391304347826086, 0.575
181.0094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
181.2094, 'C42H21', 42, 21, 2.0, 0.5
181.4094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
181.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
181.8094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
182.0094, 'C42H21', 42, 21, 2.0, 0.5
182.2094, 'C56H27', 56, 27, 2.074074074074074, 0.48214285714285715
182.4094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
182.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
182.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
183.0094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
183.2094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
183.4094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
183.6094, 'C42H21', 42, 21, 2.0, 0.5
183.8094, 'C40H18', 40, 18, 2.2222222222222223, 0.45
184.0094, 'C42H20', 42, 20, 2.1, 0.47619047619047616
184.2094, 'C41H21', 41, 21, 1.9523809523809523, 0.5121951219512195
184.4094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
184.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
184.8094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
185.0094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
185.2094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
185.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
185.6094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
185.8094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
186.0094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
186.2094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
186.4094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
186.6094, 'C42H22', 42, 22, 1.9090909090909092, 0.5238095238095238
186.8094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
187.0094, 'C40H22', 40, 22, 1.8181818181818181, 0.55
187.2094, 'C38H21', 38, 21, 1.8095238095238095, 0.5526315789473685
187.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
187.6094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
187.8094, 'C42H21', 42, 21, 2.0, 0.5
188.0094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
188.2094, 'C60H32', 60, 32, 1.875, 0.5333333333333333
188.4094, 'C60H32', 60, 32, 1.875, 0.5333333333333333
188.6094, 'C38H20', 38, 20, 1.9, 0.5263157894736842
188.8094, 'C42H24', 42, 24, 1.75, 0.5714285714285714
189.0094, 'C60H31', 60, 31, 1.935483870967742, 0.5166666666666667
189.2094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
189.4094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
189.6094, 'C60H33', 60, 33, 1.8181818181818181, 0.55
189.8094, 'C42H23', 42, 23, 1.826086956521739, 0.5476190476190477
190.0094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
190.2094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
190.4094, 'C60H30', 60, 30, 2.0, 0.5
190.6094, 'C59H33', 59, 33, 1.7878787878787878, 0.559322033898305
190.8094, 'C60H32', 60, 32, 1.875, 0.5333333333333333
191.0094, 'C60H29', 60, 29, 2.0689655172413794, 0.48333333333333334
191.2094, 'C60H33', 60, 33, 1.8181818181818181, 0.55
191.4094, 'C60H30', 60, 30, 2.0, 0.5
191.6094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
191.8094, 'C60H32', 60, 32, 1.875, 0.5333333333333333
192.0094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
192.2094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
192.4094, 'C60H33', 60, 33, 1.8181818181818181, 0.55
192.6094, 'C63H36', 63, 36, 1.75, 0.5714285714285714
192.8094, 'C60H33', 60, 33, 1.8181818181818181, 0.55
193.0094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
193.2094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
193.4094, 'C60H29', 60, 29, 2.0689655172413794, 0.48333333333333334
193.6094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
193.8094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
194.0094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
194.2094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
194.4094, 'C63H35', 63, 35, 1.8, 0.5555555555555556
194.6094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
194.8094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
195.0094, 'C63H36', 63, 36, 1.75, 0.5714285714285714
195.2094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
195.4094, 'C62H37', 62, 37, 1.6756756756756757, 0.5967741935483871
195.6094, 'C60H30', 60, 30, 2.0, 0.5
195.8094, 'C60H30', 60, 30, 2.0, 0.5
196.0094, 'C63H36', 63, 36, 1.75, 0.5714285714285714
196.2094, 'C63H36', 63, 36, 1.75, 0.5714285714285714
196.4094, 'C62H35', 62, 35, 1.7714285714285714, 0.5645161290322581
196.6094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
196.8094, 'C60H34', 60, 34, 1.7647058823529411, 0.5666666666666667
197.0094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
197.2094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
197.4094, 'C64H35', 64, 35, 1.8285714285714285, 0.546875
197.6094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
197.8094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
198.0094, 'C64H38', 64, 38, 1.6842105263157894, 0.59375
198.2094, 'C64H37', 64, 37, 1.7297297297297298, 0.578125
198.4094, 'C64H36', 64, 36, 1.7777777777777777, 0.5625
