atom,type,x,y,z
C154,C,0.493961,0.445343,0.754849
H106,H,0.453688,0.329795,0.805654
H107,H,0.383261,0.388691,0.747326
C155,C,0.060724,0.471525,0.850069
C156,C,0.129389,0.449022,0.853196
C157,C,0.080681,0.097874,0.968115
C158,C,0.098200,0.122314,0.961000
C159,C,0.117492,0.146244,0.957829
H108,H,0.067202,0.073928,0.971505
H109,H,0.117493,0.165000,0.937515
H110,H,0.162303,0.011901,0.862657
C160,C,0.165024,0.007916,0.888593
H111,H,0.160567,0.055477,0.904555
C161,C,0.165162,0.032273,0.912278
H112,H,0.185960,0.337276,0.962330
C162,C,0.169247,0.024787,0.946406
H113,H,0.137259,0.148560,0.974140
C163,C,0.159725,0.049765,0.971773
H114,H,0.154423,0.073351,0.962453
C164,C,0.227358,0.315453,0.938565
H115,H,0.245787,0.300260,0.926380
H116,H,0.138929,0.491805,0.953722
C165,C,0.122249,0.485939,0.935364
C166,C,0.115840,0.463294,0.878352
C167,C,0.134376,0.469884,0.906989
H117,H,0.176763,0.459893,0.938122
C168,C,0.179071,0.435629,0.891271
C169,C,0.081875,0.478043,0.877408
H118,H,0.202938,0.425604,0.894125
C170,C,0.205847,0.327103,0.950551
C171,C,0.164777,0.453608,0.915953
C172,C,0.068469,0.493353,0.906920
C173,C,0.158910,0.430155,0.861612
H119,H,0.495838,0.086077,0.981914
H120,H,0.182833,0.601999,0.008466
C174,C,0.418151,0.898502,0.009097
C175,C,0.333452,0.649789,0.120234
C176,C,0.335032,0.630898,0.139625
H121,H,0.106802,0.750949,0.134862
H122,H,0.319145,0.835661,0.031944
C177,C,0.321367,0.677372,0.097026
C178,C,0.308795,0.697728,0.084692
H123,H,0.294497,0.715873,0.074406
C179,C,0.329881,0.816947,0.018290
H124,H,0.452347,0.795956,0.131160
C180,C,0.423429,0.782580,0.043304
H125,H,0.419660,0.838216,0.107661
H126,H,0.367486,0.843971,0.059391
C181,C,0.424939,0.818273,0.093515
C182,C,0.382763,0.826931,0.049169
C183,C,0.410505,0.811168,0.061893
C184,C,0.434378,0.756694,0.062860
C185,C,0.441620,0.792747,0.107424
C186,C,0.365576,0.811303,0.022234
H127,H,0.451677,0.739454,0.110484
H128,H,0.435545,0.733136,0.052198
C187,C,0.445339,0.759588,0.094841
C188,C,0.417061,0.779620,0.009015
C189,C,0.171751,0.963268,0.057879
H129,H,0.177318,0.915553,0.040083
C190,C,0.181096,0.938994,0.034084
C191,C,0.397174,0.915415,0.031406
C192,C,0.166624,0.944587,0.091981
C193,C,0.162062,0.932370,0.116103
H130,H,0.156769,0.920548,0.139687
H131,H,0.408940,0.926654,0.050888
C194,C,0.362576,0.915010,0.027681
H132,H,0.468806,0.902834,0.028830
