x,y,z
0.279833,0.988803,0.379716
0.224150,0.862164,0.408503
0.238890,0.916466,0.405938
0.250204,0.991118,0.372269
0.048562,0.708244,0.405591
0.064189,0.704255,0.427694
0.022917,0.562700,0.443738
0.041448,0.566407,0.472755
0.038282,0.548596,0.492695
0.071498,0.587492,0.474592
0.085325,0.591658,0.507971
0.083827,0.598999,0.443120
0.117405,0.598431,0.514769
0.124955,0.600890,0.539428
0.146114,0.605093,0.455909
0.145878,0.597988,0.491353
0.071154,0.588079,0.529591
0.117287,0.609572,0.434608
0.177722,0.592794,0.504176
0.180636,0.590183,0.529651
0.204684,0.581191,0.483995
0.206726,0.589631,0.451785
0.226706,0.570790,0.493060
0.229874,0.586305,0.435479
0.178767,0.605615,0.437702
0.357443,0.560972,0.503024
0.371312,0.512507,0.477527
0.352986,0.505415,0.464750
0.366312,0.538828,0.508293
0.003417,0.981631,0.491733
0.364389,0.525201,0.536134
0.360873,0.516863,0.560079
0.155096,0.792346,0.532244
0.289370,0.518829,0.440366
0.169791,0.813297,0.538568
0.235422,0.963044,0.458206
0.168812,0.792619,0.480307
0.184269,0.813381,0.481601
0.197366,0.827158,0.454771
0.187484,0.829784,0.513430
0.493230,0.724484,0.526385
0.237257,0.974207,0.433792
0.230627,0.934502,0.515380
0.194666,0.819212,0.432062
0.207156,0.871727,0.555201
0.229811,0.981510,0.543005
0.233740,0.982080,0.488071
0.236233,0.926611,0.460535
0.217972,0.855824,0.461252
0.209645,0.858646,0.521652
0.095667,0.698731,0.468772
0.216645,0.874362,0.490467
0.233820,0.907145,0.493298
0.230941,0.967228,0.521451
0.081061,0.701545,0.449052
0.193036,0.543132,0.565912
0.007246,0.985977,0.452911
0.166982,0.827186,0.568764
-0.001055,0.552583,0.445066
0.012187,0.928948,0.568010
0.232042,0.908377,0.430083
0.147428,0.551895,0.583323
0.116731,0.554655,0.580943
0.090585,0.561642,0.580012
0.179219,0.549412,0.585811
0.196563,0.918763,0.613328
0.192187,0.555397,0.607395
0.434802,0.609320,0.679184
0.459698,0.592982,0.668688
0.431819,0.622952,0.701158
0.472951,0.571772,0.645090
0.411995,0.607608,0.647991
0.395178,0.626230,0.647901
0.412047,0.579329,0.627641
0.439992,0.556753,0.633914
0.392509,0.573698,0.611221
0.435822,0.523010,0.627311
0.128983,0.698419,0.574876
0.486717,0.509768,0.651815
0.411036,0.515560,0.613678
0.135477,0.721499,0.586387
0.115143,0.751534,0.585505
0.091117,0.749003,0.577865
0.154390,0.780981,0.625586
0.123933,0.778722,0.605844
0.161556,0.810810,0.643041
0.108337,0.798493,0.607313
0.141611,0.826855,0.647676
0.150754,0.818541,0.587417
0.166917,0.723682,0.599210
0.178640,0.753906,0.618488
0.191763,0.698253,0.588320
0.195363,0.817121,0.648452
0.223555,0.701129,0.597890
0.212324,0.758857,0.623913
0.234779,0.732920,0.615986
0.218253,0.791617,0.640375
0.256525,0.821296,0.657170
0.285838,0.722375,0.634185
0.266080,0.739550,0.632228
0.250705,0.797093,0.650429
0.273438,0.771355,0.644297
0.310847,0.778922,0.655806
0.181695,0.676901,0.571228
0.241545,0.683640,0.591311
0.337405,0.782757,0.662057
0.361432,0.787135,0.667630
0.156977,0.931632,0.687295
0.113383,0.969531,0.610546
0.095330,0.990352,0.587701
0.042806,0.973420,0.603022
0.058646,0.990149,0.589950
0.104113,0.951734,0.626645
0.145323,0.977416,0.613221
0.487226,0.705847,0.575763
0.181655,0.935307,0.674130
0.217539,0.923429,0.601197
0.204226,0.941724,0.664994
0.186571,0.855515,0.580988
0.202835,0.835715,0.663285
0.129412,0.930232,0.710856
0.261140,0.946133,0.582394
0.158708,0.963352,0.629487
0.191301,0.862331,0.606069
0.496229,0.543809,0.644662
0.240381,0.933346,0.590164
0.426002,0.820290,0.837424
0.401349,0.818157,0.830892
0.493156,0.819781,0.851734
0.426487,0.771671,0.854383
0.441271,0.793182,0.850388
0.475791,0.788928,0.857202
0.496590,0.878862,0.829677
