Timestep	No_Moles	No_Specs
218.4027	169	35
218.6027	161	32
218.8027	169	33
219.0027	162	30
219.2027	169	33
219.4027	175	31
219.6027	175	35
219.8027	186	33
220.0027	189	35
220.2027	167	35
220.4027	166	33
220.6027	187	34
220.8027	169	33
221.0027	158	30
221.2027	176	30
221.4027	171	30
221.6027	168	34
221.8027	182	35
222.0027	190	33
222.2027	162	33
222.4027	175	35
222.6027	172	33
222.8027	185	36
223.0027	180	30
223.2027	166	32
223.4027	180	35
223.6027	173	32
223.8027	192	33
224.0027	191	30
224.2027	177	32
224.4027	197	33
224.6027	160	25
224.8027	183	27
225.0027	190	32
225.2027	178	30
225.4027	166	26
225.6027	176	34
225.8027	191	34
226.0027	183	33
226.2027	188	33
226.4027	191	29
226.6027	173	32
226.8027	182	35
227.0027	172	31
227.2027	189	30
227.4027	174	33
227.6027	198	32
227.8027	167	26
228.0027	160	27
228.2027	167	28
228.4027	175	34
228.6027	172	30
228.8027	161	29
229.0027	163	29
229.2027	180	32
229.4027	174	29
229.6027	179	31
229.8027	186	30
230.0027	181	31
230.2027	173	32
230.4027	161	30
230.6027	163	30
230.8027	204	36
231.0027	175	32
231.2027	161	30
231.4027	191	32
231.6027	199	32
231.8027	172	29
232.0027	190	30
232.2027	173	30
232.4027	173	32
232.6027	178	33
232.8027	163	28
233.0027	179	32
233.2027	202	37
233.4027	171	31
233.6027	189	31
233.8027	154	28
234.0027	183	30
234.2027	167	31
234.4027	166	30
234.6027	181	32
234.8027	195	31
235.0027	181	30
235.2027	187	34
235.4027	168	28
235.6027	196	31
235.8027	167	28
236.0027	181	32
236.2027	174	32
236.4027	185	33
236.6027	175	31
236.8027	163	30
237.0027	187	31
237.2027	163	30
237.4027	183	31
237.6027	186	33
237.8027	178	31
238.0027	186	33
238.2027	181	31
238.4027	182	29
238.6027	181	30
238.8027	183	30
239.0027	188	34
239.2027	189	35
239.4027	169	34
239.6027	179	31
239.8027	170	33
240.0027	174	34
240.2027	177	32
240.4027	181	33
240.6027	179	31
