id type xs ys zs 
602 1 0.129021 0.0438874 0.389139 
604 1 0.0839694 0.0664138 0.35867 
619 2 0.153648 0.0440604 0.397297 
603 1 0.118003 0.0612258 0.361627 
620 2 0.134522 0.0685225 0.343416 
610 1 0.0780214 0.0835074 0.327916 
622 2 0.0993355 0.0901978 0.31585 
609 1 0.0468661 0.0982575 0.324141 
472 1 0.151915 0.154843 0.39299 
484 2 0.137237 0.158617 0.370102 
607 1 0.0247121 0.0725547 0.377311 
608 1 0.0207902 0.088328 0.345636 
601 1 0.104038 0.0327191 0.411653 
606 1 0.0681558 0.0394732 0.410095 
473 1 0.168803 0.122869 0.390833 
485 2 0.170127 0.111906 0.367524 
621 2 0.043443 0.11251 0.302935 
750 1 0.320996 0.0359745 0.301697 
1053 2 0.0195255 0.21577 0.368797 
764 2 0.254832 0.106667 0.332801 
754 1 0.277111 0.114825 0.322131 
755 1 0.28272 0.150009 0.31843 
756 1 0.30593 0.163482 0.29602 
749 1 0.299056 0.0574803 0.315435 
748 1 0.29946 0.0946261 0.308666 
760 2 0.278852 0.0488202 0.32918 
128 2 0.497505 0.037641 0.348328 
890 2 0.223242 0.0298796 0.353627 
761 2 0.317514 0.0112004 0.300075 
887 1 0.224235 0.00521074 0.361715 
488 2 0.21419 0.042982 0.397682 
474 1 0.18249 0.112687 0.421034 
477 1 0.223394 0.0547053 0.417935 
747 1 0.32899 0.10576 0.292612 
765 1 0.263968 0.166546 0.346913 
767 2 0.30874 0.188352 0.291311 
768 2 0.241229 0.185788 0.389193 
31 2 0.261304 0.447924 0.420692 
471 1 0.151136 0.17734 0.417218 
483 2 0.136557 0.198768 0.416837 
766 1 0.253186 0.178599 0.368139 
1054 3 0.00933534 0.220282 0.389708 
743 1 0.352033 0.0486077 0.286052 
617 1 0.0628548 0.0266543 0.473279 
616 1 0.0969813 0.0219204 0.471992 
618 1 0.0498479 0.0374904 0.442995 
650 2 0.0918197 0.0742731 0.50867 
628 2 0.0483569 0.028298 0.499053 
41 1 0.0152591 0.0452514 0.449185 
639 1 0.106316 0.0612171 0.525399 
641 1 0.160699 0.0386555 0.547279 
651 2 0.151104 0.066531 0.502439 
640 1 0.138426 0.0562149 0.522458 
647 2 0.0421584 0.0542357 0.529044 
43 2 0.00990464 0.0377167 0.474318 
633 1 0.0903777 0.0403179 0.55084 
634 1 0.0547338 0.0381716 0.546082 
468 1 0.169084 0.167202 0.447786 
615 1 0.117083 0.0254461 0.443747 
626 2 0.141747 0.0187059 0.445893 
478 1 0.206451 0.0839602 0.432314 
596 2 0.241216 0.005341 0.489007 
479 2 0.278679 0.0927027 0.52342 
655 2 0.206603 0.0681351 0.537037 
475 1 0.261014 0.0538296 0.469593 
467 1 0.185249 0.137542 0.446529 
466 1 0.22149 0.0945891 0.462608 
476 1 0.251104 0.0424502 0.438169 
465 1 0.206166 0.124339 0.470278 
461 1 0.247469 0.0822475 0.483865 
486 2 0.278517 0.0415641 0.484109 
462 1 0.258846 0.101514 0.512018 
644 1 0.194892 0.047591 0.549698 
654 1 0.27717 0.035236 0.571018 
1 1 0.402728 0.495849 0.476866 
627 2 0.106933 0.0160232 0.494884 
463 1 0.237495 0.128886 0.521225 
464 1 0.212167 0.142465 0.499781 
480 2 0.244115 0.140123 0.543398 
833 1 0.476784 0.144177 0.537907 
837 2 0.457004 0.135069 0.522968 
834 1 0.473374 0.152147 0.567733 
481 2 0.164334 0.207478 0.479773 
